"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"426",2011-03-30,0.135870242869104,0.135064954559008,192,0,29.1000520833333,0,0.0677083333333333,3,2011
"427",2011-04-07,0.127642209150104,0.122196802248557,192,13,28.931171875,0.0677083333333333,0.0364963503649635,4,2011
"428",2011-04-15,0.114410735925453,0.105246654401223,191.8,7,29.150390625,0.0364963503649635,0,4,2011
"429",2011-04-23,0.128887208075159,0.121931426227093,192,0,29.0985416666667,0,0,4,2011
"430",2011-05-01,0.131412135450156,0.124265593787034,192,0,28.8722135416667,0,0,5,2011
"431",2011-05-09,0.109024699415184,0.101177074015141,192,0,29.1130989583333,0,0,5,2011
"432",2011-05-17,0.0945156863373187,0.082178088525931,192,0,28.926015625,0,0,5,2011
"433",2011-05-25,0.112031916725553,0.102298715462287,192,0,28.5715364583333,0,0,5,2011
"434",2011-06-02,0.161004342018597,0.160460978746414,192,0,28.135078125,0,0.0208333333333333,6,2011
"435",2011-06-10,0.174540164570014,0.14638764411211,192,4,27.7005729166667,0.0208333333333333,0,6,2011
"436",2011-06-18,0.205360561609268,0.168189138174057,192,0,27.6815885416667,0,0.114130434782609,6,2011
"437",2011-06-26,0.211071793151938,0.163028337061405,184,21,27.654765625,0.114130434782609,0.260416666666667,6,2011
"438",2011-07-04,0.180288693405748,0.151913613080978,192,50,27.5945052083333,0.260416666666667,0.0416666666666667,7,2011
"439",2011-07-12,0.180163755702476,0.144604754944642,192,8,27.0060416666667,0.0416666666666667,0,7,2011
"440",2011-07-20,0.225526201703093,0.20020658771197,192,0,26.826015625,0,0.380208333333333,7,2011
"441",2011-07-28,0.178288528496133,0.181344535201788,192,73,27.0136979166667,0.380208333333333,0,7,2011
"442",2011-08-05,0.228437468301559,0.201209132870038,192,0,26.9350520833333,0,0.00520833333333333,8,2011
"443",2011-08-13,0.240543253074481,0.250772734483083,192,1,27.2299739583333,0.00520833333333333,0.135416666666667,8,2011
"444",2011-08-21,0.171635466420816,0.148011833429337,192,26,27.4686979166667,0.135416666666667,0.078125,8,2011
"445",2011-08-29,0.15768777518659,0.165091201663017,192,15,27.586484375,0.078125,0.00520833333333333,8,2011
