"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"187",2006-01-17,0.136888765900798,0.121076210091511,192,0,28.8696875,0,0.0104166666666667,1,2006
"188",2006-01-25,0.172529296409449,0.147725857794285,192,2,28.7286805555556,0.0104166666666667,0.00520833333333333,1,2006
"189",2006-02-02,0.148958914203658,0.117558527737856,192,1,28.6590451388889,0.00520833333333333,0.00520833333333333,2,2006
"190",2006-02-10,0.0883578362100455,0.0668681605408589,192,1,28.9472048611111,0.00520833333333333,0,2,2006
"191",2006-02-18,0.139093075963584,0.102510961393515,192,0,28.9215104166667,0,0,2,2006
"192",2006-02-26,0.171844238783144,0.163567890723546,192,0,28.6669618055556,0,0.09375,2,2006
"193",2006-03-06,0.139397523722347,0.142414422084888,192,18,29.0229513888889,0.09375,0.00520833333333333,3,2006
"194",2006-03-14,0.112377236427376,0.10287406668067,192,1,29.0991319444444,0.00520833333333333,0.0104166666666667,3,2006
"195",2006-03-22,0.127122790988028,0.115338253478209,192,2,29.3066666666667,0.0104166666666667,0.00520833333333333,3,2006
"196",2006-03-30,0.114599019377714,0.108961633096139,192,1,29.62421875,0.00520833333333333,0,3,2006
"197",2006-04-07,0.12277045969427,0.107730938742558,192,0,29.6304861111111,0,0,4,2006
"198",2006-04-15,0.121155016962439,0.120714115599791,192,0,28.95109375,0,0.00520833333333333,4,2006
"199",2006-04-23,0.153083069745958,0.140373267233372,192,1,28.8074479166667,0.00520833333333333,0,4,2006
"200",2006-05-01,0.156727123498564,0.149351241687934,192,0,28.6659375,0,NA,5,2006
"201",2006-05-09,0.149614313165464,0.157317241032918,47.1,3,28.52640625,NA,0.125,5,2006
"202",2006-05-17,0.176283612274207,0.167258987824122,184,23,27.5570833333333,0.125,0.755208333333333,5,2006
"203",2006-05-25,0.202525051652327,0.195348056654135,192,145,26.5980729166667,0.755208333333333,0.588541666666667,5,2006
"204",2006-06-02,0.268418402361447,0.243741288781166,192,113,26.5088020833333,0.588541666666667,0.614583333333333,6,2006
"205",2006-06-10,0.339116075112448,0.320000305771828,192,118,26.8834375,0.614583333333333,0.375,6,2006
"206",2006-06-18,0.288333633382406,0.292254433035851,192,72,26.57171875,0.375,0.40625,6,2006
"207",2006-06-26,0.260840594944869,0.26098475108544,192,78,26.3443576388889,0.40625,0.703125,6,2006
"208",2006-07-04,0.264508573173066,0.257909620801608,192,135,26.5229166666667,0.703125,0.208333333333333,7,2006
"209",2006-07-12,0.259116885190952,0.261045075953007,192,40,27.1212152777778,0.208333333333333,0.161458333333333,7,2006
"210",2006-07-20,0.191349603588412,0.199504435062408,192,31,27.4265972222222,0.161458333333333,0.515625,7,2006
"211",2006-07-28,0.187228759697505,0.160004176199436,192,99,27.4317361111111,0.515625,0.770833333333333,7,2006
"212",2006-08-05,0.181928072367194,0.164868665238221,192,148,27.2661631944444,0.770833333333333,0.890625,8,2006
"213",2006-08-13,0.151183186711131,0.137299753725529,192,171,27.4589930555556,0.890625,0.733695652173913,8,2006
"214",2006-08-21,0.135935429138718,0.112195055931807,184,135,27.7163194444444,0.733695652173913,0.520833333333333,8,2006
"215",2006-08-29,0.148713096280893,0.128570508211851,192,100,27.44421875,0.520833333333333,0.489583333333333,8,2006
"216",2006-09-06,0.130712251254433,0.148097256819407,192,94,27.5089583333333,0.489583333333333,0.704225352112676,9,2006
"217",2006-09-14,0.122683192417026,0.0946719522277514,191.7,135,27.7661631944444,0.704225352112676,0.78125,9,2006
"218",2006-09-22,0.124651970472305,0.106826619555553,192,150,28.1813368055556,0.78125,0.989583333333333,9,2006
"219",2006-09-30,0.124967142253931,0.116647506753604,192,190,28.5681423611111,0.989583333333333,0.946396664681358,9,2006
"220",2006-10-08,0.111468452649812,0.106260145703952,167.9,158.9,28.5212326388889,0.946396664681358,NA,10,2006
"221",2006-10-16,0.108602782898753,0.102413710206747,17.2,15,28.7512326388889,NA,NA,10,2006
"222",2006-10-24,0.111104651778584,0.103963484366735,0,0,29.0937152777778,NA,NA,10,2006
"223",2006-11-01,0.125409224035596,0.123313532521327,0,0,29.0699131944444,NA,NA,11,2006
"224",2006-11-09,0.101862272739045,0.08693652972579,0,0,29.0928472222222,NA,NA,11,2006
"225",2006-11-17,0.0866516497917473,0.0691733919084072,0,0,28.9969444444444,NA,NA,11,2006
"226",2006-11-25,0.0963241344196557,0.0826864801347256,0,0,28.8183333333333,NA,NA,11,2006
